RCM-1	SW837	SW1463	SNU-61	CaR-1	SNU-283	ECC4
TTYH1	5.91244602764008	6.69360369548191	6.47407816482094	7.32719328228738	7.48939192370547	6.46725848982725	5.85274566122636
NTRK2	5.73141326522151	6.53962664175295	7.47480607992166	9.69420861036994	5.46430858042583	4.45872190134865	4.36731414144584
VSTM2L	6.62383672017227	7.19096209152084	6.07981177086013	6.93664494995403	6.76012112625121	6.97306982129043	8.83857139669585
C1orf116	10.3479710515836	10.0702350075798	9.50916383762124	10.3469375853746	10.6978311238581	10.1364541322227	9.50144590085145
CXCL13	2.38815711325503	3.82231288735024	5.6563639649255	0.287048497886682	5.40330110279537	4.49104393143287	2.05346804634693
AURKB	10.3962979043724	9.44477358968152	10.2631190509446	10.6757884080798	10.0042366741531	10.0485515836259	10.107659157302
IL2RG	7.66881875958296	3.41819300565135	8.61706529130431	8.36198208850167	1.69360079842877	7.6460111654118	6.26661521013154
TMEM176A	10.9113414928937	8.89011574373634	9.76408310654554	5.92997378711795	2.06474121605231	11.9240440682956	13.6668940165504
TMSB15A	7.17209520438309	6.21257363891728	6.93664494995403	3.49822368235232	6.61978921569327	7.33766025556039	8.20294553129389
CEP55	9.81191804499873	9.04481981477615	9.36472690846886	10.5411852534576	10.1949139181315	9.50788489614283	9.486856798246
CCL18	1.3804284614569	3.97646820770327	3.26656205129088	0.664542746303232	0.293269881253217	4.45726243023452	1.41932916985318
FAM174B	3.7800092325544	7.10966355975749	8.52841032453852	3.46049162260463	7.97956501108048	5.44013404423085	10.8988507259805
KCNMA1	6.59692152890685	6.24430809737876	6.93950299312938	5.53477811020626	7.75803163547056	8.3657115442143	9.89378541793033
CXCL10	6.48441613496478	7.34623083707806	6.30972937976751	4.83119842228701	8.62337052358804	7.82528191687689	5.37097448107501
TESC	12.0981524921807	10.2560741755458	12.4391772802344	7.96185359298661	8.99479460219907	7.23544615856747	5.89891348350527
CYP1B1	5.01115891834123	7.35177343010107	4.43365264954418	8.19381407766783	11.5892226503371	4.78748376498954	5.70506711713988
GPD1	2.53669897898206	2.42070440890207	8.44229503736933	2.51971617037849	0.828037673044806	9.19589155053715	2.33062557962326
HSPB6	2.54056025409783	1.81843339206764	1.39867243760437	5.22640096791468	1.27269160418945	7.42947499201758	5.61936920401102
GZMA	3.14165845776282	5.47662959494603	5.24624076047314	7.26597616544387	5.01312757744552	3.10448504809709	5.28217825403567
FMO1	1.5377858243632	1.72559107756107	0.335424873756621	2.13088968524111	0.0932056802576908	0.85909597849116	0.807278317319305
NGEF	9.53973239772857	9.2339943346501	9.77201885384002	9.38053186888789	7.50101717700546	10.2898649040802	4.68908545668281
SFRP2	1.67114363250497	1.79276341198367	5.27347996648997	0.77903861385013	1.88266306450616	4.14279176739706	0.548011155694158
S100B	4.89360682995605	6.76935740312516	6.40991225374192	5.14973118495248	6.36032764258406	6.24151153964992	6.61080627175389
TRIM9	5.80609587691351	4.60024928849863	5.58872969106321	3.68590714411543	2.19367972695527	1.78231303517564	8.3792370012941
