Alteration	Weight
MAPK11_CNA	0.025
MAPK12_CNA	0.025
SBF1_CNA	0.025
PPP6R2_CNA	0.025
ZBED4_CNA	0.025
SCO2_CNA	0.025
RABL2B_CNA	0.025
MLC1_CNA	0.025
MAPK8IP2_CNA	0.025
PLXNB2_CNA	0.025
BRD1_CNA	0.025
NCAPH2_CNA	0.025
MOV10L1_CNA	0.025
MIOX_CNA	0.025
PANX2_CNA	0.025
ALG12_CNA	0.025
CRELD2_CNA	0.025
ADM2_CNA	0.025
TRABD_CNA	0.025
SELO_CNA	0.025
HDAC10_CNA	0.025
SHANK3_CNA	0.025
TUBGCP6_CNA	0.025
LOC90834_CNA	0.025
LMF2_CNA	0.025
KLHDC7B_CNA	0.025
RPL23AP82_CNA	0.025
C22orf34_CNA	0.025
CHKB-CPT1B_CNA	0.025
IL17REL_CNA	0.025
FAM116B_CNA	0.025
PIM3_CNA	0.025
ODF3B_CNA	0.025
SYCE3_CNA	0.025
LOC100144603_CNA	0.025
hsa-mir-3198_CNA	0.333333333333333
BID_CNA	0.333333333333333
MIR3198-1_CNA	0.333333333333333
COL4A5_CNA	0.5
IRS4_CNA	0.5
hsa-mir-548f-5_CNA	0.333333333333333
DMD_CNA	0.333333333333333
FTHL17_CNA	0.333333333333333
KDM6A_CNA	1
CLCN4_CNA	0.25
MID1_CNA	0.25
WWC3_CNA	0.25
LOC100288814_CNA	0.25
