Model_name	TCGA_Type
KU-19-19	BLCA
JIMT-1	BRCA
JEKO-1	DLBC
FU-OV-1	OV
EVSA-T	BRCA
EN	UCEC
EGI-1	CHOL
EFO-27	OV
EFO-21	OV
GAMG	GBM
EFM-19	BRCA
GDM-1	LAML
GRANTA-519	DLBC
IPC-298	SKCM
IGR-1	SKCM
HDQ-P1	BRCA
IGR-37	SKCM
HCC-827	LUAD
HCC-78	LUAD
HCC-44	LUAD
HCC-15	LUSC
GMS-10	GBM
VCaP	PRAD
SH-4	SKCM
RT4	BLCA
RPMI-7951	SKCM
RL95-2	UCEC
RL	DLBC
RKO	COAD
RF-48	DLBC
SiHa	CESC
SK-CO-1	COAD
SK-MES-1	LUSC
SK-MEL-31	SKCM
SK-MEL-3	SKCM
SK-MEL-24	SKCM
SK-MEL-1	SKCM
SK-LU-1	LUAD
SK-HEP-1	LIHC
NCI-H650	LUAD
NCI-H520	LUSC
PANC-10-05	PAAD
PANC-08-13	PAAD
PANC-04-03	PAAD
PANC-03-27	PAAD
PANC-02-03	PAAD
PA-1	OV
OV-90	OV
SNU-5	STAD
SNU-16	STAD
SNU-1	STAD
NCI-N87	STAD
NCI-H838	LUAD
SNU-182	LIHC
SW1088	LGG
SW900	LUSC
SW780	BLCA
SW156	KIRC
SW1573	LUAD
SW1783	LGG
SW1990	PAAD
SW626	COAD
TOV-21G	OV
TOV-112D	OV
T98G	GBM
THP-1	LAML
SW756	CESC
SNU-387	LIHC
SNU-398	LIHC
UM-UC-3	BLCA
T-24	BLCA
UACC-893	BRCA
UACC-812	BRCA
SU8686	PAAD
U-87-MG	GBM
TCCSUP	BLCA
U-118-MG	LGG
SNU-449	LIHC
SNU-475	LIHC
SNU-C1	COAD
SNU-423	LIHC
TUR	LAML
KNS-81-FD	GBM
LNZTA3WT4	LGG
CHL-1	SKCM
C2BBe1	COAD
C3A	LIHC
451Lu	SKCM
MMAC-SF	SKCM
CGTH-W-1	THCA
HUH-6-clone5	LIHC
YMB-1-E	BRCA
SW13	ACC
