Alteration	Weight
SNX15_CNA	0.0161290322580645
EFEMP2_CNA	0.0161290322580645
CDC42BPG_CNA	0.0161290322580645
SCYL1_CNA	0.0161290322580645
MUS81_CNA	0.0161290322580645
FRMD8_CNA	0.0161290322580645
RNASEH2C_CNA	0.0161290322580645
SYVN1_CNA	0.0161290322580645
DKFZp761E198_CNA	0.0161290322580645
CDCA5_CNA	0.0161290322580645
BATF2_CNA	0.0161290322580645
GPHA2_CNA	0.0161290322580645
TIGD3_CNA	0.0161290322580645
LOC254100_CNA	0.0161290322580645
EHBP1L1_CNA	0.0161290322580645
SNX32_CNA	0.0161290322580645
C11orf85_CNA	0.0161290322580645
SLC25A45_CNA	0.0161290322580645
NEAT1_CNA	0.0161290322580645
MALAT1_CNA	0.0161290322580645
SPDYC_CNA	0.0161290322580645
PCNXL3_CNA	0.0161290322580645
MIR192_CNA	0.0161290322580645
MIR194-2_CNA	0.0161290322580645
SLC22A20_CNA	0.0161290322580645
MIR612_CNA	0.0161290322580645
LOC100130348_CNA	0.0161290322580645
ARL2-SNX15_CNA	0.0161290322580645
MIR4489_CNA	0.0161290322580645
MIR4690_CNA	0.0161290322580645
THYN1_CNA	1
NCOR2_CNA	1
GPR19_CNA	1
RB1_CNA	0.5
LPAR6_CNA	0.5
ANKRD20A9P_CNA	1
ZFP36L1_CNA	1
APBA2_CNA	0.0454545454545455
TJP1_CNA	0.0454545454545455
HERC2_CNA	0.0454545454545455
FAM189A1_CNA	0.0454545454545455
DKFZP434L187_CNA	0.0454545454545455
NDNL2_CNA	0.0454545454545455
CHRFAM7A_CNA	0.0454545454545455
ULK4P3_CNA	0.0454545454545455
ULK4P1_CNA	0.0454545454545455
ARHGAP11B_CNA	0.0454545454545455
GOLGA8G_CNA	0.0454545454545455
HERC2P9_CNA	0.0454545454545455
WHAMMP2_CNA	0.0454545454545455
LOC646278_CNA	0.0454545454545455
LOC653075_CNA	0.0454545454545455
GOLGA8F_CNA	0.0454545454545455
ULK4P2_CNA	0.0454545454545455
LOC100288637_CNA	0.0454545454545455
LOC100289656_CNA	0.0454545454545455
MIR4509-1_CNA	0.0454545454545455
MIR4509-2_CNA	0.0454545454545455
MIR4509-3_CNA	0.0454545454545455
AFG3L1P_CNA	0.037037037037037
C16orf3_CNA	0.037037037037037
DPEP1_CNA	0.037037037037037
FANCA_CNA	0.037037037037037
GAS8_CNA	0.037037037037037
MC1R_CNA	0.037037037037037
CHMP1A_CNA	0.037037037037037
RPL13_CNA	0.037037037037037
SPG7_CNA	0.037037037037037
CDK10_CNA	0.037037037037037
C16orf7_CNA	0.037037037037037
TUBB3_CNA	0.037037037037037
PRDM7_CNA	0.037037037037037
TCF25_CNA	0.037037037037037
CPNE7_CNA	0.037037037037037
ANKRD11_CNA	0.037037037037037
DEF8_CNA	0.037037037037037
DBNDD1_CNA	0.037037037037037
SPIRE2_CNA	0.037037037037037
CENPBD1_CNA	0.037037037037037
ZNF276_CNA	0.037037037037037
SPATA2L_CNA	0.037037037037037
C16orf55_CNA	0.037037037037037
SNORD68_CNA	0.037037037037037
LOC100128881_CNA	0.037037037037037
LOC100130015_CNA	0.037037037037037
LOC100287036_CNA	0.037037037037037
hsa-mir-744_CNA	0.333333333333333
MAP2K4_CNA	0.333333333333333
MIR744_CNA	0.333333333333333
NBR2_CNA	1
NFATC1_CNA	0.1
CTDP1_CNA	0.1
TXNL4A_CNA	0.1
ADNP2_CNA	0.1
KCNG2_CNA	0.1
RBFA_CNA	0.1
PQLC1_CNA	0.1
PARD6G_CNA	0.1
HSBP1L1_CNA	0.1
LOC100130522_CNA	0.1
TCF3_CNA	0.25
UQCR11_CNA	0.25
MBD3_CNA	0.25
MEX3D_CNA	0.25
ARHGAP35_CNA	1
SRXN1_CNA	1
hsa-mir-3118-5_CNA	0.0625
hsa-mir-3156-3_CNA	0.0625
BAGE_CNA	0.0625
TPTE_CNA	0.0625
C21orf15_CNA	0.0625
BAGE5_CNA	0.0625
BAGE4_CNA	0.0625
BAGE3_CNA	0.0625
BAGE2_CNA	0.0625
ANKRD30BP2_CNA	0.0625
POTED_CNA	0.0625
ANKRD20A11P_CNA	0.0625
TEKT4P2_CNA	0.0625
MIR3156-3_CNA	0.0625
MIR3687_CNA	0.0625
MIR3648_CNA	0.0625
ANKRD62P1-PARP4P3_CNA	0.142857142857143
POTEH_CNA	0.142857142857143
HSFY1P1_CNA	0.142857142857143
OR11H1_CNA	0.142857142857143
CCT8L2_CNA	0.142857142857143
XKR3_CNA	0.142857142857143
TPTEP1_CNA	0.142857142857143
LOC339685_CNA	1
