Sample_ID	Coordinate1	Coordinate2	Sample_Type
TCGA.38.4625	-0.577528816431243	0.0548427024188114	Tumor
TCGA.38.4626	0.753387249372966	1.06658646261274	Tumor
TCGA.38.4627	0.177837072450496	0.34758341892139	Tumor
TCGA.38.4628	-0.221668822782836	-0.132314620927178	Tumor
TCGA.38.4629	-0.143938446276207	0.47384664996382	Tumor
TCGA.38.4630	-0.665343407582706	-0.732516861445598	Tumor
TCGA.38.4631	-0.36763779640224	-0.243654674503617	Tumor
TCGA.38.4632	-0.0787521175582265	-0.0283595054707677	Tumor
TCGA.38.6178	-0.0896920842254295	-0.104567411189135	Tumor
TCGA.44.2655	0.801975589972626	0.218677036429845	Tumor
TCGA.44.2656	-0.0520845027573394	0.132702349357554	Tumor
TCGA.44.2657	-0.0597714911017522	-0.409932588947806	Tumor
